workbook_row,iranian_year,gregorian_calendar_year_proxy,workbook_GDP_PPP_input_IRR_per_intl_dollar,workbook_line_IRR_exact_30_day,WDI_CPI_FP_CPI_TOTL_2010_100,WDI_calendar_CPI_ratio_to_2021,WDI_calendar_effective_factor_IRR_per_2021_intl_dollar,WDI_calendar_line_IRR_nearest_365_over_12,selected_CPI_factor,selected_effective_factor_IRR_per_2021_intl_dollar,corrected_line_IRR_exact_365_over_12,corrected_line_IRR_nearest,difference_from_workbook_IRR_exact,difference_from_workbook_percent,status
21,1389,2010,3925.1119543723298,977352.87663871027,100,0.096931394197822738835964296396433076751636020569358,4654.7466457944901793376508350939735629240800156214,1175130,0.096931394197822738835964296396433076751636020569358,4654.7466457944901793376508350939735629240800156214,1175129.5802862006665252844337430994090732083672771,1175130,197776.7036474903965252844337430994090732083672771,20.235956569512490356969949602969468332051866605024,WDI calendar-year CPI proxy; PIP survey factor unavailable
22,1390,2011,4758.86962890625,1184958.5375976563,126.293385673861,0.12241793951330679543103919345790571922925706858568,5878.6371335143440857952992865074344374945268226926,1484111,0.1302115237433239,6252.893176704567847848828125,1578594.9899022073579215020670572916666666666666667,1578595,393636.4523045510579215020670572916666666666666667,33.219428344100199651036527831715502698569575916902,PIP survey-specific CPI factor
23,1391,2012,6093.5625,1517297.0625000002,160.716937290151,0.15578516802738383612559592654188738384730304617340,7480.9662477369378712364505101679426564548642690956,1888632,0.16855999695097518,8094.4268563951481059947656250,2043505.5134540917655925952050781250000000000000000,2043506,526208.4509540915655925952050781250000000000000000,34.680647841436883835745218296984433034158293312529,PIP survey-specific CPI factor
24,1392,2013,8503.8466796875,2117457.8232421875,219.54421493168,0.21280726841394195055296545703109147905668372297952,10219.226980568221069072142034824525720492999778078,2579929,0.22387202792444236,10750.5682724608464479426562500,2714070.5484516778595035230924479166666666666666667,2714071,596612.7252094903595035230924479166666666666666667,28.175896523689665015358947482036539045321490857686,PIP survey-specific CPI factor
25,1393,2014,9758.5537109375,2429879.8740234375,256.002941860307,0.24814722073263713886828063428234505498023698788262,11916.288349377858901095765085305996204720041577169,3008366,0.2565126370097023,12318.004363870285658945703125,3109782.8516954192003146673014322916666666666666667,3109783,679902.9776719817003146673014322916666666666666667,27.980929631150303931953405238510983580988771747401,PIP survey-specific CPI factor
26,1394,2015,10701.5615234375,2664688.8193359375,287.964093938751,0.27912761104395930798274628297182338588432200163059,13403.999003706506973765974138219277259087139057264,3383951,0.2850364685186866,13687.748502396605880914843750,3455586.1740008764596859599283854166666666666666667,3455586,790897.3546649389596859599283854166666666666666667,29.680664733754432306791753470962724066211172311253,PIP survey-specific CPI factor
27,1395,2016,11796.810546875,2937405.826171875,308.828317801683,0.29935159412285412393734519466431956924321237498494,14375.175764137387851983391525776623267109792378434,3629133,0.30457626750977546,14626.0700293484219253242968750,3692473.2628259203518974964485677083333333333333334,3692473,755067.4366540453518974964485677083333333333333334,25.705247464497418676321897858787050400183385843740,PIP survey-specific CPI factor
28,1396,2017,13061.294921875,3252262.4355468755,333.673322422363,0.32343420349019272882109625294964841789286023514289,15531.647783365976249936679694374685605838497685635,3921094,0.3296655876976866,15830.885352148829603571093750,3996638.9311945732736682190429687500000000000000000,3996639,744376.4956476977736682190429687500000000000000000,22.887959086934173962863250438720262279418308137182,PIP survey-specific CPI factor
29,1397,2018,16923.19921875,4213876.60546875,393.781629583152,0.38169802364985522741316310218496498124914002168749,18329.537194776651580324308239376250374778991030440,4627444,0.41818148637524716,20081.5111259614865567614062500,5069744.8296750269603090566861979166666666666666667,5069745,855868.2242062769603090566861979166666666666666667,20.310709219523301889437771246535519137455412525301,PIP survey-specific CPI factor
30,1398,2019,23549.041015625,5863711.212890625,550.929425291206,0.53402357298081821337594147619682265922179391170101,25644.368944437272944058691625932926250713403870251,6474135,0.5635554534167597,27062.520643799606555093359375,6832158.8575325756715546110188802083333333333333334,6832159,968447.6446419506715546110188802083333333333333334,16.515950555561832926760078040082226823841252308310,PIP survey-specific CPI factor
31,1399,2020,32954.5859375,8205691.8984375,719.481539670071,0.69740348739816090828423940954911256222426513019123,33490.042834903184116443988524370063414001843890805,8454840,0.7692581263071904,36940.577537457704960487500000,9325956.6374773430981497401041666666666666666666668,9325957,1120264.7390398430981497401041666666666666666666668,13.652288593155198861631522947865727358433585066024,PIP survey-specific CPI factor
32,1400,2021,50488.171875,12571554.796875002,1031.65750196386,1,48021.04296875,12123312,1.0785553259633645,51793.351652260889142818359375,13075663.235877030304847351643880208333333333333333,13075663,504108.439002028304847351643880208333333333333333,4.0099132298841668580481967155795027018556088318999,PIP survey-specific CPI factor
33,1401,2022,70968.082972096905,17671052.660052132,1480.30950510605,1.4348846417421842495868968524983114524468305333871,68904.657036300879708891848190795545044769471368531,17395555,1.589071344376989,76308.86330873671746774609375,19264808.449484823797378065917968750000000000000000,19264808,1593755.789432691797378065917968750000000000000000,9.0190200894800004620948156018219388336679779146062,PIP survey-specific CPI factor
34,1402,2023,89391.812935857699,22258561.421028569,2140.21942916994,2.0745445315871061628470162733574452969170945582196,99621.792091929766679544503295628376430983399686670,25150352,2.2358304187730877,107366.908610740751097812109375,27105670.803019925454235148779296875000000000000000,27105671,4847109.381991356454235148779296875000000000000000,21.776382086454585162369957497631210129959017083137,PIP survey-specific CPI factor
35,1403,2024,117170.156249744,29175368.90618626,2834.84629484158,2.7478560369552641678706692010531669500970308008059,131954.91282256782852682461889659136286387690306729,33313117,2.9624753048743412025,142261.153909231495204601044921875,35915013.814001401226861572132568359375000000000000,35915014,6739644.907815141226861572132568359375000000000000,23.100461658210897917675805768633650671876590811320,provisional SCI 1403 annual-average inflation extrapolation
